minute,class,TVC,MQ135,MQ136,MQ2,MQ3,MQ4,MQ5,MQ6,MQ7,MQ8,MQ9,Humidity,Temperature
132,excellent,2.646006338,21.64,31.97,27.25,14.47,39.56,5.88,2.37,1.62,29.93,14.82,56.5,34.5
133,excellent,2.647144963,21.64,31.8,27.12,14.42,39.56,5.93,2.36,1.61,29.77,14.82,56.5,34.4
134,excellent,2.648295228,21.54,31.8,27.12,14.42,39.29,5.93,2.36,1.59,29.77,14.76,56.5,34.5
135,excellent,2.649457221,21.64,31.97,27.25,14.47,39.83,5.96,2.36,1.61,29.93,14.82,56.5,34.5
136,excellent,2.650631031,21.64,32.14,27.25,14.53,40.11,6.03,2.37,1.62,29.93,14.82,56.5,34.4
137,excellent,2.651816744,21.64,32.14,27.39,14.53,40.11,6.06,2.37,1.61,29.93,14.82,56.5,34.4
138,excellent,2.653014449,21.64,32.14,27.25,14.53,39.83,5.96,2.37,1.62,30.09,14.76,56.5,34.4
139,excellent,2.654224232,21.74,32.49,27.39,14.59,40.39,5.98,2.37,1.62,30.09,14.82,56.5,34.4
140,excellent,2.655446183,21.74,32.32,27.39,14.59,40.39,5.93,2.37,1.62,30.09,14.94,56.5,34.4
141,excellent,2.656680388,21.64,32.32,27.39,14.59,40.39,5.93,2.37,1.62,30.09,14.94,56.5,34.5
142,excellent,2.657926936,21.64,32.32,27.53,14.59,40.39,5.88,2.36,1.62,30.09,14.88,56.5,34.5
143,excellent,2.659185913,21.64,32.32,27.53,14.59,40.39,5.88,2.36,1.62,29.93,14.88,56.5,34.5
144,excellent,2.660457407,21.64,32.49,27.53,14.59,40.67,5.91,2.36,1.62,30.25,14.82,56.5,34.5
145,excellent,2.661741506,21.64,32.49,27.67,14.65,40.96,5.88,2.37,1.62,30.25,14.88,56.5,34.5
146,excellent,2.663038297,21.74,32.67,27.81,14.65,41.25,5.84,2.37,1.62,30.41,14.94,56.5,34.5
147,excellent,2.664347866,21.74,32.85,27.81,14.65,41.25,5.86,2.36,1.62,30.41,14.94,56.5,34.5
148,excellent,2.6656703,21.74,33.03,27.95,14.65,41.25,5.88,2.37,1.62,30.41,14.94,56.5,34.5
149,excellent,2.667005687,21.74,33.21,27.95,14.71,41.25,5.86,2.37,1.62,30.57,14.94,56.5,34.5
150,excellent,2.668354112,21.84,33.4,28.09,14.71,41.83,5.74,2.37,1.63,30.57,14.94,56.5,34.5
